Concatenated,Year,Month,Reg,X5,Code,Trust,Indicator,value,Description
2018-19JANUARYY60,2018-19,JANUARY,Y60,Midlands,Y60,NA,A29,1770,Response times - C1T - Response times - 90th centile (min:sec)
2018-19JANUARYY60,2018-19,JANUARY,Y60,Midlands,Y60,NA,A30,106437754,Response times - C2 - Response times - Total (hours)
2018-19JANUARYY60,2018-19,JANUARY,Y60,Midlands,Y60,NA,A31,1248,Response times - C2 - Response times - Mean (hour: min:sec)
2018-19JANUARYY60,2018-19,JANUARY,Y60,Midlands,Y60,NA,A32,2538,Response times - C2 - Response times - 90th centile (hour: min:sec)
2018-19JANUARYY60,2018-19,JANUARY,Y60,Midlands,Y60,NA,A33,125713389,Response times - C3 - Response times - Total (hours)
2018-19JANUARYY60,2018-19,JANUARY,Y60,Midlands,Y60,NA,A34,2870,Response times - C3 - Response times - Mean (hour: min:sec)
2018-19JANUARYY60,2018-19,JANUARY,Y60,Midlands,Y60,NA,A35,6686,Response times - C3 - Response times - 90th centile (hour: min:sec)
2018-19JANUARYY60,2018-19,JANUARY,Y60,Midlands,Y60,NA,A36,5534129,Response times - C4 - Response times - Total (hours)
2018-19JANUARYY60,2018-19,JANUARY,Y60,Midlands,Y60,NA,A37,3102,Response times - C4 - Response times - Mean (hour: min:sec)
2018-19JANUARYY60,2018-19,JANUARY,Y60,Midlands,Y60,NA,A38,7661,Response times - C4 - Response times - 90th centile (hour: min:sec)
2018-19FEBRUARYY60,2018-19,FEBRUARY,Y60,Midlands,Y60,NA,A24,4592182,Response times - C1 - Response times - Total (hours)
2018-19FEBRUARYY60,2018-19,FEBRUARY,Y60,Midlands,Y60,NA,A25,433,Response times - C1 - Response times - Mean (min:sec)
2018-19FEBRUARYY60,2018-19,FEBRUARY,Y60,Midlands,Y60,NA,A26,764,Response times - C1 - Response times - 90th centile (min:sec)
2018-19FEBRUARYY60,2018-19,FEBRUARY,Y60,Midlands,Y60,NA,A27,5242927,Response times - C1T - Response times - Total (hours)
2018-19FEBRUARYY60,2018-19,FEBRUARY,Y60,Midlands,Y60,NA,A28,761,Response times - C1T - Response times - Mean (min:sec)
2018-19FEBRUARYY60,2018-19,FEBRUARY,Y60,Midlands,Y60,NA,A29,1625,Response times - C1T - Response times - 90th centile (min:sec)
2018-19FEBRUARYY60,2018-19,FEBRUARY,Y60,Midlands,Y60,NA,A30,93542045,Response times - C2 - Response times - Total (hours)
2018-19FEBRUARYY60,2018-19,FEBRUARY,Y60,Midlands,Y60,NA,A31,1238,Response times - C2 - Response times - Mean (hour: min:sec)
2018-19FEBRUARYY60,2018-19,FEBRUARY,Y60,Midlands,Y60,NA,A32,2506,Response times - C2 - Response times - 90th centile (hour: min:sec)
2018-19FEBRUARYY60,2018-19,FEBRUARY,Y60,Midlands,Y60,NA,A33,117419078,Response times - C3 - Response times - Total (hours)
2018-19FEBRUARYY60,2018-19,FEBRUARY,Y60,Midlands,Y60,NA,A34,2895,Response times - C3 - Response times - Mean (hour: min:sec)
2018-19FEBRUARYY60,2018-19,FEBRUARY,Y60,Midlands,Y60,NA,A35,6829,Response times - C3 - Response times - 90th centile (hour: min:sec)
2018-19FEBRUARYY60,2018-19,FEBRUARY,Y60,Midlands,Y60,NA,A36,6229920,Response times - C4 - Response times - Total (hours)
2018-19FEBRUARYY60,2018-19,FEBRUARY,Y60,Midlands,Y60,NA,A37,3465,Response times - C4 - Response times - Mean (hour: min:sec)
2018-19FEBRUARYY60,2018-19,FEBRUARY,Y60,Midlands,Y60,NA,A38,8104,Response times - C4 - Response times - 90th centile (hour: min:sec)
2018-19MARCHY60,2018-19,MARCH,Y60,Midlands,Y60,NA,A24,5088101,Response times - C1 - Response times - Total (hours)
2018-19MARCHY60,2018-19,MARCH,Y60,Midlands,Y60,NA,A25,429,Response times - C1 - Response times - Mean (min:sec)
2018-19MARCHY60,2018-19,MARCH,Y60,Midlands,Y60,NA,A26,762,Response times - C1 - Response times - 90th centile (min:sec)
2018-19MARCHY60,2018-19,MARCH,Y60,Midlands,Y60,NA,A27,5618820,Response times - C1T - Response times - Total (hours)
2018-19MARCHY60,2018-19,MARCH,Y60,Midlands,Y60,NA,A28,734,Response times - C1T - Response times - Mean (min:sec)
2018-19MARCHY60,2018-19,MARCH,Y60,Midlands,Y60,NA,A29,1551,Response times - C1T - Response times - 90th centile (min:sec)
2018-19MARCHY60,2018-19,MARCH,Y60,Midlands,Y60,NA,A30,89451089,Response times - C2 - Response times - Total (hours)
2018-19MARCHY60,2018-19,MARCH,Y60,Midlands,Y60,NA,A31,1116,Response times - C2 - Response times - Mean (hour: min:sec)
2018-19MARCHY60,2018-19,MARCH,Y60,Midlands,Y60,NA,A32,2202,Response times - C2 - Response times - 90th centile (hour: min:sec)
2018-19MARCHY60,2018-19,MARCH,Y60,Midlands,Y60,NA,A33,115515093,Response times - C3 - Response times - Total (hours)
2018-19MARCHY60,2018-19,MARCH,Y60,Midlands,Y60,NA,A34,2532,Response times - C3 - Response times - Mean (hour: min:sec)
2018-19MARCHY60,2018-19,MARCH,Y60,Midlands,Y60,NA,A35,5903,Response times - C3 - Response times - 90th centile (hour: min:sec)
2018-19MARCHY60,2018-19,MARCH,Y60,Midlands,Y60,NA,A36,8313923,Response times - C4 - Response times - Total (hours)
2018-19MARCHY60,2018-19,MARCH,Y60,Midlands,Y60,NA,A37,3433,Response times - C4 - Response times - Mean (hour: min:sec)
2018-19MARCHY60,2018-19,MARCH,Y60,Midlands,Y60,NA,A38,7795,Response times - C4 - Response times - 90th centile (hour: min:sec)
2019-20APRILY60,2019-20,APRIL,Y60,Midlands,Y60,NA,A24,4712573,Response times - C1 - Response times - Total (hours)
2019-20APRILY60,2019-20,APRIL,Y60,Midlands,Y60,NA,A25,421,Response times - C1 - Response times - Mean (min:sec)
2019-20APRILY60,2019-20,APRIL,Y60,Midlands,Y60,NA,A26,742,Response times - C1 - Response times - 90th centile (min:sec)
2019-20APRILY60,2019-20,APRIL,Y60,Midlands,Y60,NA,A27,5279965,Response times - C1T - Response times - Total (hours)
2019-20APRILY60,2019-20,APRIL,Y60,Midlands,Y60,NA,A28,723,Response times - C1T - Response times - Mean (min:sec)
2019-20APRILY60,2019-20,APRIL,Y60,Midlands,Y60,NA,A29,1555,Response times - C1T - Response times - 90th centile (min:sec)
2019-20APRILY60,2019-20,APRIL,Y60,Midlands,Y60,NA,A30,87330143,Response times - C2 - Response times - Total (hours)
2019-20APRILY60,2019-20,APRIL,Y60,Midlands,Y60,NA,A31,1105,Response times - C2 - Response times - Mean (hour: min:sec)
2019-20APRILY60,2019-20,APRIL,Y60,Midlands,Y60,NA,A32,2212,Response times - C2 - Response times - 90th centile (hour: min:sec)
2019-20APRILY60,2019-20,APRIL,Y60,Midlands,Y60,NA,A33,110165237,Response times - C3 - Response times - Total (hours)
2019-20APRILY60,2019-20,APRIL,Y60,Midlands,Y60,NA,A34,2497,Response times - C3 - Response times - Mean (hour: min:sec)
2019-20APRILY60,2019-20,APRIL,Y60,Midlands,Y60,NA,A35,5875,Response times - C3 - Response times - 90th centile (hour: min:sec)
2019-20APRILY60,2019-20,APRIL,Y60,Midlands,Y60,NA,A36,7037433,Response times - C4 - Response times - Total (hours)
2019-20APRILY60,2019-20,APRIL,Y60,Midlands,Y60,NA,A37,3249,Response times - C4 - Response times - Mean (hour: min:sec)
2019-20APRILY60,2019-20,APRIL,Y60,Midlands,Y60,NA,A38,7502,Response times - C4 - Response times - 90th centile (hour: min:sec)
2019-20MAYY60,2019-20,MAY,Y60,Midlands,Y60,NA,A24,4855502,Response times - C1 - Response times - Total (hours)
2019-20MAYY60,2019-20,MAY,Y60,Midlands,Y60,NA,A25,425,Response times - C1 - Response times - Mean (min:sec)
2019-20MAYY60,2019-20,MAY,Y60,Midlands,Y60,NA,A26,745,Response times - C1 - Response times - 90th centile (min:sec)
2019-20MAYY60,2019-20,MAY,Y60,Midlands,Y60,NA,A27,5297260,Response times - C1T - Response times - Total (hours)
2019-20MAYY60,2019-20,MAY,Y60,Midlands,Y60,NA,A28,715,Response times - C1T - Response times - Mean (min:sec)
2019-20MAYY60,2019-20,MAY,Y60,Midlands,Y60,NA,A29,1510,Response times - C1T - Response times - 90th centile (min:sec)
2019-20MAYY60,2019-20,MAY,Y60,Midlands,Y60,NA,A30,86282280,Response times - C2 - Response times - Total (hours)
2019-20MAYY60,2019-20,MAY,Y60,Midlands,Y60,NA,A31,1094,Response times - C2 - Response times - Mean (hour: min:sec)
2019-20MAYY60,2019-20,MAY,Y60,Midlands,Y60,NA,A32,2182,Response times - C2 - Response times - 90th centile (hour: min:sec)
2019-20MAYY60,2019-20,MAY,Y60,Midlands,Y60,NA,A33,107663823,Response times - C3 - Response times - Total (hours)
2019-20MAYY60,2019-20,MAY,Y60,Midlands,Y60,NA,A34,2384,Response times - C3 - Response times - Mean (hour: min:sec)
2019-20MAYY60,2019-20,MAY,Y60,Midlands,Y60,NA,A35,5495,Response times - C3 - Response times - 90th centile (hour: min:sec)
2019-20MAYY60,2019-20,MAY,Y60,Midlands,Y60,NA,A36,7841360,Response times - C4 - Response times - Total (hours)
2019-20MAYY60,2019-20,MAY,Y60,Midlands,Y60,NA,A37,3202,Response times - C4 - Response times - Mean (hour: min:sec)
2019-20MAYY60,2019-20,MAY,Y60,Midlands,Y60,NA,A38,7266,Response times - C4 - Response times - 90th centile (hour: min:sec)
2019-20JUNEY60,2019-20,JUNE,Y60,Midlands,Y60,NA,A24,4865332,Response times - C1 - Response times - Total (hours)
2019-20JUNEY60,2019-20,JUNE,Y60,Midlands,Y60,NA,A25,433,Response times - C1 - Response times - Mean (min:sec)
2019-20JUNEY60,2019-20,JUNE,Y60,Midlands,Y60,NA,A26,773,Response times - C1 - Response times - 90th centile (min:sec)
2019-20JUNEY60,2019-20,JUNE,Y60,Midlands,Y60,NA,A27,5537943,Response times - C1T - Response times - Total (hours)
2019-20JUNEY60,2019-20,JUNE,Y60,Midlands,Y60,NA,A28,747,Response times - C1T - Response times - Mean (min:sec)
2019-20JUNEY60,2019-20,JUNE,Y60,Midlands,Y60,NA,A29,1575,Response times - C1T - Response times - 90th centile (min:sec)
2019-20JUNEY60,2019-20,JUNE,Y60,Midlands,Y60,NA,A30,92971152,Response times - C2 - Response times - Total (hours)
2019-20JUNEY60,2019-20,JUNE,Y60,Midlands,Y60,NA,A31,1192,Response times - C2 - Response times - Mean (hour: min:sec)
2019-20JUNEY60,2019-20,JUNE,Y60,Midlands,Y60,NA,A32,2362,Response times - C2 - Response times - 90th centile (hour: min:sec)
2019-20JUNEY60,2019-20,JUNE,Y60,Midlands,Y60,NA,A33,135776369,Response times - C3 - Response times - Total (hours)
2019-20JUNEY60,2019-20,JUNE,Y60,Midlands,Y60,NA,A34,3150,Response times - C3 - Response times - Mean (hour: min:sec)
2019-20JUNEY60,2019-20,JUNE,Y60,Midlands,Y60,NA,A35,7412,Response times - C3 - Response times - 90th centile (hour: min:sec)
2019-20JUNEY60,2019-20,JUNE,Y60,Midlands,Y60,NA,A36,7818251,Response times - C4 - Response times - Total (hours)
2019-20JUNEY60,2019-20,JUNE,Y60,Midlands,Y60,NA,A37,4036,Response times - C4 - Response times - Mean (hour: min:sec)
2019-20JUNEY60,2019-20,JUNE,Y60,Midlands,Y60,NA,A38,9105,Response times - C4 - Response times - 90th centile (hour: min:sec)
2019-20JULYY60,2019-20,JULY,Y60,Midlands,Y60,NA,A24,5223689,Response times - C1 - Response times - Total (hours)
2019-20JULYY60,2019-20,JULY,Y60,Midlands,Y60,NA,A25,439,Response times - C1 - Response times - Mean (min:sec)
2019-20JULYY60,2019-20,JULY,Y60,Midlands,Y60,NA,A26,775,Response times - C1 - Response times - 90th centile (min:sec)
2019-20JULYY60,2019-20,JULY,Y60,Midlands,Y60,NA,A27,6246406,Response times - C1T - Response times - Total (hours)
2019-20JULYY60,2019-20,JULY,Y60,Midlands,Y60,NA,A28,791,Response times - C1T - Response times - Mean (min:sec)
2019-20JULYY60,2019-20,JULY,Y60,Midlands,Y60,NA,A29,1784,Response times - C1T - Response times - 90th centile (min:sec)
2019-20JULYY60,2019-20,JULY,Y60,Midlands,Y60,NA,A30,107972629,Response times - C2 - Response times - Total (hours)
2019-20JULYY60,2019-20,JULY,Y60,Midlands,Y60,NA,A31,1318,Response times - C2 - Response times - Mean (hour: min:sec)
2019-20JULYY60,2019-20,JULY,Y60,Midlands,Y60,NA,A32,2639,Response times - C2 - Response times - 90th centile (hour: min:sec)
2019-20JULYY60,2019-20,JULY,Y60,Midlands,Y60,NA,A33,154755453,Response times - C3 - Response times - Total (hours)
2019-20JULYY60,2019-20,JULY,Y60,Midlands,Y60,NA,A34,3534,Response times - C3 - Response times - Mean (hour: min:sec)
2019-20JULYY60,2019-20,JULY,Y60,Midlands,Y60,NA,A35,8768,Response times - C3 - Response times - 90th centile (hour: min:sec)
2019-20JULYY60,2019-20,JULY,Y60,Midlands,Y60,NA,A36,9130120,Response times - C4 - Response times - Total (hours)
2019-20JULYY60,2019-20,JULY,Y60,Midlands,Y60,NA,A37,4551,Response times - C4 - Response times - Mean (hour: min:sec)
2019-20JULYY60,2019-20,JULY,Y60,Midlands,Y60,NA,A38,10934,Response times - C4 - Response times - 90th centile (hour: min:sec)
2019-20AUGUSTY60,2019-20,AUGUST,Y60,Midlands,Y60,NA,A24,4891357,Response times - C1 - Response times - Total (hours)
2019-20AUGUSTY60,2019-20,AUGUST,Y60,Midlands,Y60,NA,A25,425,Response times - C1 - Response times - Mean (min:sec)
2019-20AUGUSTY60,2019-20,AUGUST,Y60,Midlands,Y60,NA,A26,755,Response times - C1 - Response times - 90th centile (min:sec)
2019-20AUGUSTY60,2019-20,AUGUST,Y60,Midlands,Y60,NA,A27,5663437,Response times - C1T - Response times - Total (hours)
2019-20AUGUSTY60,2019-20,AUGUST,Y60,Midlands,Y60,NA,A28,753,Response times - C1T - Response times - Mean (min:sec)
2019-20AUGUSTY60,2019-20,AUGUST,Y60,Midlands,Y60,NA,A29,1631,Response times - C1T - Response times - 90th centile (min:sec)
2019-20AUGUSTY60,2019-20,AUGUST,Y60,Midlands,Y60,NA,A30,97533831,Response times - C2 - Response times - Total (hours)
2019-20AUGUSTY60,2019-20,AUGUST,Y60,Midlands,Y60,NA,A31,1229,Response times - C2 - Response times - Mean (hour: min:sec)
2019-20AUGUSTY60,2019-20,AUGUST,Y60,Midlands,Y60,NA,A32,2470,Response times - C2 - Response times - 90th centile (hour: min:sec)
2019-20AUGUSTY60,2019-20,AUGUST,Y60,Midlands,Y60,NA,A33,133021958,Response times - C3 - Response times - Total (hours)
2019-20AUGUSTY60,2019-20,AUGUST,Y60,Midlands,Y60,NA,A34,3080,Response times - C3 - Response times - Mean (hour: min:sec)
2019-20AUGUSTY60,2019-20,AUGUST,Y60,Midlands,Y60,NA,A35,7261,Response times - C3 - Response times - 90th centile (hour: min:sec)
2019-20AUGUSTY60,2019-20,AUGUST,Y60,Midlands,Y60,NA,A36,8787108,Response times - C4 - Response times - Total (hours)
2019-20AUGUSTY60,2019-20,AUGUST,Y60,Midlands,Y60,NA,A37,3992,Response times - C4 - Response times - Mean (hour: min:sec)
2019-20AUGUSTY60,2019-20,AUGUST,Y60,Midlands,Y60,NA,A38,9114,Response times - C4 - Response times - 90th centile (hour: min:sec)
2019-20SEPTEMBERY60,2019-20,SEPTEMBER,Y60,Midlands,Y60,NA,A24,5052024,Response times - C1 - Response times - Total (hours)
2019-20SEPTEMBERY60,2019-20,SEPTEMBER,Y60,Midlands,Y60,NA,A25,438,Response times - C1 - Response times - Mean (min:sec)
2019-20SEPTEMBERY60,2019-20,SEPTEMBER,Y60,Midlands,Y60,NA,A26,775,Response times - C1 - Response times - 90th centile (min:sec)
2019-20SEPTEMBERY60,2019-20,SEPTEMBER,Y60,Midlands,Y60,NA,A27,5750382,Response times - C1T - Response times - Total (hours)
2019-20SEPTEMBERY60,2019-20,SEPTEMBER,Y60,Midlands,Y60,NA,A28,757,Response times - C1T - Response times - Mean (min:sec)
2019-20SEPTEMBERY60,2019-20,SEPTEMBER,Y60,Midlands,Y60,NA,A29,1641,Response times - C1T - Response times - 90th centile (min:sec)
2019-20SEPTEMBERY60,2019-20,SEPTEMBER,Y60,Midlands,Y60,NA,A30,96773154,Response times - C2 - Response times - Total (hours)
2019-20SEPTEMBERY60,2019-20,SEPTEMBER,Y60,Midlands,Y60,NA,A31,1212,Response times - C2 - Response times - Mean (hour: min:sec)
2019-20SEPTEMBERY60,2019-20,SEPTEMBER,Y60,Midlands,Y60,NA,A32,2394,Response times - C2 - Response times - 90th centile (hour: min:sec)
2019-20SEPTEMBERY60,2019-20,SEPTEMBER,Y60,Midlands,Y60,NA,A33,140955265,Response times - C3 - Response times - Total (hours)
2019-20SEPTEMBERY60,2019-20,SEPTEMBER,Y60,Midlands,Y60,NA,A34,3446,Response times - C3 - Response times - Mean (hour: min:sec)
2019-20SEPTEMBERY60,2019-20,SEPTEMBER,Y60,Midlands,Y60,NA,A35,8160,Response times - C3 - Response times - 90th centile (hour: min:sec)
2019-20SEPTEMBERY60,2019-20,SEPTEMBER,Y60,Midlands,Y60,NA,A36,9218655,Response times - C4 - Response times - Total (hours)
2019-20SEPTEMBERY60,2019-20,SEPTEMBER,Y60,Midlands,Y60,NA,A37,4519,Response times - C4 - Response times - Mean (hour: min:sec)
2019-20SEPTEMBERY60,2019-20,SEPTEMBER,Y60,Midlands,Y60,NA,A38,10541,Response times - C4 - Response times - 90th centile (hour: min:sec)
2019-20OCTOBERY60,2019-20,OCTOBER,Y60,Midlands,Y60,NA,A24,5736072,Response times - C1 - Response times - Total (hours)
2019-20OCTOBERY60,2019-20,OCTOBER,Y60,Midlands,Y60,NA,A25,445,Response times - C1 - Response times - Mean (min:sec)
2019-20OCTOBERY60,2019-20,OCTOBER,Y60,Midlands,Y60,NA,A26,791,Response times - C1 - Response times - 90th centile (min:sec)
2019-20OCTOBERY60,2019-20,OCTOBER,Y60,Midlands,Y60,NA,A27,6805377,Response times - C1T - Response times - Total (hours)
2019-20OCTOBERY60,2019-20,OCTOBER,Y60,Midlands,Y60,NA,A28,782,Response times - C1T - Response times - Mean (min:sec)
2019-20OCTOBERY60,2019-20,OCTOBER,Y60,Midlands,Y60,NA,A29,1726,Response times - C1T - Response times - 90th centile (min:sec)
2019-20OCTOBERY60,2019-20,OCTOBER,Y60,Midlands,Y60,NA,A30,114719092,Response times - C2 - Response times - Total (hours)
2019-20OCTOBERY60,2019-20,OCTOBER,Y60,Midlands,Y60,NA,A31,1339,Response times - C2 - Response times - Mean (hour: min:sec)
2019-20OCTOBERY60,2019-20,OCTOBER,Y60,Midlands,Y60,NA,A32,2656,Response times - C2 - Response times - 90th centile (hour: min:sec)
2019-20OCTOBERY60,2019-20,OCTOBER,Y60,Midlands,Y60,NA,A33,164732129,Response times - C3 - Response times - Total (hours)
2019-20OCTOBERY60,2019-20,OCTOBER,Y60,Midlands,Y60,NA,A34,3975,Response times - C3 - Response times - Mean (hour: min:sec)
2019-20OCTOBERY60,2019-20,OCTOBER,Y60,Midlands,Y60,NA,A35,9332,Response times - C3 - Response times - 90th centile (hour: min:sec)
2019-20OCTOBERY60,2019-20,OCTOBER,Y60,Midlands,Y60,NA,A36,10322854,Response times - C4 - Response times - Total (hours)
2019-20OCTOBERY60,2019-20,OCTOBER,Y60,Midlands,Y60,NA,A37,5214,Response times - C4 - Response times - Mean (hour: min:sec)
2019-20OCTOBERY60,2019-20,OCTOBER,Y60,Midlands,Y60,NA,A38,12110,Response times - C4 - Response times - 90th centile (hour: min:sec)
2019-20NOVEMBERY60,2019-20,NOVEMBER,Y60,Midlands,Y60,NA,A24,6322059,Response times - C1 - Response times - Total (hours)
2019-20NOVEMBERY60,2019-20,NOVEMBER,Y60,Midlands,Y60,NA,A25,457,Response times - C1 - Response times - Mean (min:sec)
2019-20NOVEMBERY60,2019-20,NOVEMBER,Y60,Midlands,Y60,NA,A26,812,Response times - C1 - Response times - 90th centile (min:sec)
2019-20NOVEMBERY60,2019-20,NOVEMBER,Y60,Midlands,Y60,NA,A27,7254869,Response times - C1T - Response times - Total (hours)
2019-20NOVEMBERY60,2019-20,NOVEMBER,Y60,Midlands,Y60,NA,A28,790,Response times - C1T - Response times - Mean (min:sec)
2019-20NOVEMBERY60,2019-20,NOVEMBER,Y60,Midlands,Y60,NA,A29,1689,Response times - C1T - Response times - 90th centile (min:sec)
2019-20NOVEMBERY60,2019-20,NOVEMBER,Y60,Midlands,Y60,NA,A30,127635495,Response times - C2 - Response times - Total (hours)
2019-20NOVEMBERY60,2019-20,NOVEMBER,Y60,Midlands,Y60,NA,A31,1454,Response times - C2 - Response times - Mean (hour: min:sec)
2019-20NOVEMBERY60,2019-20,NOVEMBER,Y60,Midlands,Y60,NA,A32,2932,Response times - C2 - Response times - 90th centile (hour: min:sec)
2019-20NOVEMBERY60,2019-20,NOVEMBER,Y60,Midlands,Y60,NA,A33,171631127,Response times - C3 - Response times - Total (hours)
2019-20NOVEMBERY60,2019-20,NOVEMBER,Y60,Midlands,Y60,NA,A34,4343,Response times - C3 - Response times - Mean (hour: min:sec)
2019-20NOVEMBERY60,2019-20,NOVEMBER,Y60,Midlands,Y60,NA,A35,10178,Response times - C3 - Response times - 90th centile (hour: min:sec)
2019-20NOVEMBERY60,2019-20,NOVEMBER,Y60,Midlands,Y60,NA,A36,9792669,Response times - C4 - Response times - Total (hours)
2019-20NOVEMBERY60,2019-20,NOVEMBER,Y60,Midlands,Y60,NA,A37,5477,Response times - C4 - Response times - Mean (hour: min:sec)
2019-20NOVEMBERY60,2019-20,NOVEMBER,Y60,Midlands,Y60,NA,A38,12728,Response times - C4 - Response times - 90th centile (hour: min:sec)
2019-20DECEMBERY60,2019-20,DECEMBER,Y60,Midlands,Y60,NA,A24,7087088,Response times - C1 - Response times - Total (hours)
2019-20DECEMBERY60,2019-20,DECEMBER,Y60,Midlands,Y60,NA,A25,460,Response times - C1 - Response times - Mean (min:sec)
2019-20DECEMBERY60,2019-20,DECEMBER,Y60,Midlands,Y60,NA,A26,812,Response times - C1 - Response times - 90th centile (min:sec)
2019-20DECEMBERY60,2019-20,DECEMBER,Y60,Midlands,Y60,NA,A27,7931756,Response times - C1T - Response times - Total (hours)
2019-20DECEMBERY60,2019-20,DECEMBER,Y60,Midlands,Y60,NA,A28,776,Response times - C1T - Response times - Mean (min:sec)
2019-20DECEMBERY60,2019-20,DECEMBER,Y60,Midlands,Y60,NA,A29,1629,Response times - C1T - Response times - 90th centile (min:sec)
2019-20DECEMBERY60,2019-20,DECEMBER,Y60,Midlands,Y60,NA,A30,154434959,Response times - C2 - Response times - Total (hours)
2019-20DECEMBERY60,2019-20,DECEMBER,Y60,Midlands,Y60,NA,A31,1621,Response times - C2 - Response times - Mean (hour: min:sec)
2019-20DECEMBERY60,2019-20,DECEMBER,Y60,Midlands,Y60,NA,A32,3290,Response times - C2 - Response times - 90th centile (hour: min:sec)
2019-20DECEMBERY60,2019-20,DECEMBER,Y60,Midlands,Y60,NA,A33,179238216,Response times - C3 - Response times - Total (hours)
2019-20DECEMBERY60,2019-20,DECEMBER,Y60,Midlands,Y60,NA,A34,4580,Response times - C3 - Response times - Mean (hour: min:sec)
2019-20DECEMBERY60,2019-20,DECEMBER,Y60,Midlands,Y60,NA,A35,11000,Response times - C3 - Response times - 90th centile (hour: min:sec)
2019-20DECEMBERY60,2019-20,DECEMBER,Y60,Midlands,Y60,NA,A36,12948396,Response times - C4 - Response times - Total (hours)
2019-20DECEMBERY60,2019-20,DECEMBER,Y60,Midlands,Y60,NA,A37,5510,Response times - C4 - Response times - Mean (hour: min:sec)
2019-20DECEMBERY60,2019-20,DECEMBER,Y60,Midlands,Y60,NA,A38,13095,Response times - C4 - Response times - 90th centile (hour: min:sec)
2019-20JANUARYY60,2019-20,JANUARY,Y60,Midlands,Y60,NA,A24,5639492,Response times - C1 - Response times - Total (hours)
2019-20JANUARYY60,2019-20,JANUARY,Y60,Midlands,Y60,NA,A25,436,Response times - C1 - Response times - Mean (min:sec)
2019-20JANUARYY60,2019-20,JANUARY,Y60,Midlands,Y60,NA,A26,775,Response times - C1 - Response times - 90th centile (min:sec)
2019-20JANUARYY60,2019-20,JANUARY,Y60,Midlands,Y60,NA,A27,6201559,Response times - C1T - Response times - Total (hours)
2019-20JANUARYY60,2019-20,JANUARY,Y60,Midlands,Y60,NA,A28,744,Response times - C1T - Response times - Mean (min:sec)
2019-20JANUARYY60,2019-20,JANUARY,Y60,Midlands,Y60,NA,A29,1565,Response times - C1T - Response times - 90th centile (min:sec)
2019-20JANUARYY60,2019-20,JANUARY,Y60,Midlands,Y60,NA,A30,97826363,Response times - C2 - Response times - Total (hours)
2019-20JANUARYY60,2019-20,JANUARY,Y60,Midlands,Y60,NA,A31,1154,Response times - C2 - Response times - Mean (hour: min:sec)
2019-20JANUARYY60,2019-20,JANUARY,Y60,Midlands,Y60,NA,A32,2271,Response times - C2 - Response times - 90th centile (hour: min:sec)
2019-20JANUARYY60,2019-20,JANUARY,Y60,Midlands,Y60,NA,A33,101915837,Response times - C3 - Response times - Total (hours)
2019-20JANUARYY60,2019-20,JANUARY,Y60,Midlands,Y60,NA,A34,2510,Response times - C3 - Response times - Mean (hour: min:sec)
2019-20JANUARYY60,2019-20,JANUARY,Y60,Midlands,Y60,NA,A35,5777,Response times - C3 - Response times - 90th centile (hour: min:sec)
2019-20JANUARYY60,2019-20,JANUARY,Y60,Midlands,Y60,NA,A36,8444916,Response times - C4 - Response times - Total (hours)
2019-20JANUARYY60,2019-20,JANUARY,Y60,Midlands,Y60,NA,A37,3664,Response times - C4 - Response times - Mean (hour: min:sec)
2019-20JANUARYY60,2019-20,JANUARY,Y60,Midlands,Y60,NA,A38,8239,Response times - C4 - Response times - 90th centile (hour: min:sec)
2019-20FEBRUARYY60,2019-20,FEBRUARY,Y60,Midlands,Y60,NA,A24,5357958,Response times - C1 - Response times - Total (hours)
2019-20FEBRUARYY60,2019-20,FEBRUARY,Y60,Midlands,Y60,NA,A25,444,Response times - C1 - Response times - Mean (min:sec)
2019-20FEBRUARYY60,2019-20,FEBRUARY,Y60,Midlands,Y60,NA,A26,794,Response times - C1 - Response times - 90th centile (min:sec)
2019-20FEBRUARYY60,2019-20,FEBRUARY,Y60,Midlands,Y60,NA,A27,5596962,Response times - C1T - Response times - Total (hours)
2019-20FEBRUARYY60,2019-20,FEBRUARY,Y60,Midlands,Y60,NA,A28,713,Response times - C1T - Response times - Mean (min:sec)
2019-20FEBRUARYY60,2019-20,FEBRUARY,Y60,Midlands,Y60,NA,A29,1479,Response times - C1T - Response times - 90th centile (min:sec)
2019-20FEBRUARYY60,2019-20,FEBRUARY,Y60,Midlands,Y60,NA,A30,88448997,Response times - C2 - Response times - Total (hours)
2019-20FEBRUARYY60,2019-20,FEBRUARY,Y60,Midlands,Y60,NA,A31,1146,Response times - C2 - Response times - Mean (hour: min:sec)
2019-20FEBRUARYY60,2019-20,FEBRUARY,Y60,Midlands,Y60,NA,A32,2248,Response times - C2 - Response times - 90th centile (hour: min:sec)
2019-20FEBRUARYY60,2019-20,FEBRUARY,Y60,Midlands,Y60,NA,A33,123040831,Response times - C3 - Response times - Total (hours)
2019-20FEBRUARYY60,2019-20,FEBRUARY,Y60,Midlands,Y60,NA,A34,3049,Response times - C3 - Response times - Mean (hour: min:sec)
2019-20FEBRUARYY60,2019-20,FEBRUARY,Y60,Midlands,Y60,NA,A35,7020,Response times - C3 - Response times - 90th centile (hour: min:sec)
2019-20FEBRUARYY60,2019-20,FEBRUARY,Y60,Midlands,Y60,NA,A36,5823716,Response times - C4 - Response times - Total (hours)
